job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Full-time,None,Data Scientist,"Artificial Intelligence, Enterprise Software, Machine Learning",501–1k people,Private,None,None,"NewYork,NY","['algorithm', 'machine-learning', 'python']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Agile Software Development, Insurance, Software Development / Engineering",11–50 people,Private,None,None,"København,Denmark","['node.js', 'typescript', 'serverless', 'amazon-web-services', 'lambda']"
Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['python', 'android']"
Full-time,None,"Backend Developer, QA/Test Developer",Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['automation', 'rest', 'testing']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['ios', 'android', 'php']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['php', 'reactjs', 'angularjs']"
Full-time,None,Data Scientist,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['machine-learning', 'design']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['angularjs', 'c#', 'javascript']"
Full-time,None,Data Scientist,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"PaloAlto,CA","['r', 'python', 'sql']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['reactjs', 'javascript', 'ios']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Mumbai,India","['android', 'oop', 'user-interface']"
Full-time,"Mid-Level, Senior",Designer,"Assessment, Consulting, Recruiting",11–50 people,Private,£30k - 60k (British Pounds),On-siteandlimitedremote,"London,UK",[]
Full-time,Mid-Level,Full Stack Developer,None,None,None,£35k - 50k (British Pounds),On-siteandlimitedremote,"Bath,UK",[]
Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['jquery', 'user-interface', 'javascript']"
Full-time,Mid-Level,Frontend Developer,"Data Science, Software Development, Software Development / Engineering",1k–5k people,Public,None,None,"Düsseldorf,Germany","['sass', 'css', 'git', 'webpack']"
Full-time,Senior,"DevOps, Full Stack Developer, QA/Test Developer","Banking, Manufacturing, Retail",51–200 people,None,$100k - 130k (US Dollars),On-siteandlimitedremote,"Plano,TX",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"ToshimaCity,Japan","['objective-c', 'ios', 'swift']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['javascript', 'css', 'css3']"
Full-time,Senior,Backend Developer,"Agile Software Development, Consulting, Healthcare",51–200 people,Private,None,None,"Columbia,MD","['.net', 'reactjs', 'azure', 'c#', 'amazon-web-services']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['ios', 'objective-c', 'c']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['ios', 'objective-c', 'swift']"
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Energy & Utilities, Energy Storage, Green Energy",51–200 people,Private,£35k - 65k (British Pounds),On-siteandlimitedremote,"London,UK",[]
Full-time,"Junior, Mid-Level, Senior","Backend Developer, Full Stack Developer",Consulting,51–200 people,Private,None,None,"Vienna,VA","['clojure', 'functional-programming', 'mysql', 'clojurescript', 'scala']"
Full-time,"Mid-Level, Senior","DevOps, System Administrator","Cloud-Based Solutions, Managed Hosting, Web Hosting",51–200 people,Private,None,On-siteandlimitedremote,"Gent,Belgium",[]
Full-time,None,Backend Developer,None,None,None,None,None,"Pune,India","['wordpress', 'php', 'javascript']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Ahmedabad,India","['javascript', 'reactjs', 'php']"
